metric_item_label,geo_label_citystate,geo_label_state,year,year1,value,race,gender,race_gender,race_gender1,metric_cat_label,metric_subcat_label,metric_item_label_subtitle,metric_cat_item_yaxis_label,geo_label_proxy_or_real,geo_label_proxy_footnote,geo_fips_desc,date_label_proxy_or_real,value_ci_flag_yesno,value_95_ci_low,value_95_ci_high
All Cancer Deaths,"Dallas, TX",TX,2011,2011,136.9191918,Asian/PI,Male,Asian/PI Male,Asian/PI Male,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,89.15992173,205.4314579
All Cancer Deaths,"Long Beach, CA",CA,2019,2019,146.5320304,White,Female,White Female,White Female,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,132.8707528,161.6114972
All Cancer Deaths,"Indianapolis, IN",IN,2010,2010,203.9658739,Black,Female,Black Female,Black Female,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,184.7036575,224.8211215
All Cancer Deaths,"Indianapolis, IN",IN,2012,2012,270.1708239,All,Male,,All Male,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,259.459291,281.2476078
All Cancer Deaths,"Oklahoma City, OK",OK,2018,2018,171.8275959,Black,Female,Black Female,Black Female,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,150.041948,196.1654378
All Cancer Deaths,"Phoenix, AZ",AZ,2010,2010,147.9579667,White,Both,,White Both,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,141.9430276,154.2033088
All Cancer Deaths,"San Diego, CA",CA,2014,2014,109.5504555,Hispanic,Female,Hispanic Female,Hispanic Female,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,99.39164442,120.5490787
All Cancer Deaths,"Houston, TX",TX,2011,2011,180.3451159,White,Both,,White Both,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,174.8145945,186.0812249
All Cancer Deaths,"Phoenix, AZ",AZ,2022,2022,88.15254317,Hispanic,Female,Hispanic Female,Hispanic Female,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,78.89569699,98.37991974
All Cancer Deaths,"Columbus, OH",OH,2015,2015,62.83938884,Hispanic,Both,,Hispanic Both,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,36.98017467,107.91947
All Cancer Deaths,"Boston, MA",MA,2018,2018,87.22653054,Asian/PI,Female,Asian/PI Female,Asian/PI Female,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,69.40337375,111.1110675
All Cancer Deaths,"New York City, NY",NY,2014,2014,176.9320155,White,Male,White Male,White Male,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,173.1599715,180.7888265
All Cancer Deaths,"San Diego, CA",CA,2010,2010,123.7008467,Asian/PI,Both,,Asian/PI Both,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,112.238862,136.1433193
All Cancer Deaths,"Philadelphia, PA",PA,2022,2022,184.6923562,White,Male,White Male,White Male,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,173.9570296,196.1785032
All Cancer Deaths,"San Diego, CA",CA,2019,2019,136.891576,White,Both,,White Both,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,132.231501,141.7447495
All Cancer Deaths,"Denver, CO",CO,2017,2017,240.1956096,Black,Male,Black Male,Black Male,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,207.9725755,276.4752393
All Cancer Deaths,"Indianapolis, IN",IN,2019,2019,93.19379962,Asian/PI,Both,,Asian/PI Both,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,67.92121188,126.5998181
All Cancer Deaths,"Las Vegas, NV",NV,2011,2011,115.870608,Hispanic,Male,Hispanic Male,Hispanic Male,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",proxy,County level data were used,place,real,yes,102.4830584,130.9300606
All Cancer Deaths,"Charlotte, NC",NC,2017,2017,118.8073641,All,Female,,All Female,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,112.717417,125.1689588
All Cancer Deaths,"Denver, CO",CO,2020,2020,151.8600382,Hispanic,Male,Hispanic Male,Hispanic Male,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,132.8382019,173.3207227
All Cancer Deaths,"Long Beach, CA",CA,2015,2015,166.9273092,White,Female,White Female,White Female,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,152.3495359,183.2360514
All Cancer Deaths,"Portland, OR",OR,2016,2016,179.0379113,Asian/PI,Male,Asian/PI Male,Asian/PI Male,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,146.8618886,216.8770924
All Cancer Deaths,"Kansas City, MO",MO,2013,2013,228.0330637,Black,Both,,Black Both,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,212.5143603,244.4981013
All Cancer Deaths,"Los Angeles, CA",CA,2021,2021,113.1077091,White,Female,White Female,White Female,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,108.9367621,117.4922118
All Cancer Deaths,"Washington, DC",DC,2020,2020,130.482352,All,Female,,All Female,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,123.9185451,137.3516954
All Cancer Deaths,"Detroit, MI",MI,2012,2012,187.6990525,Black,Female,Black Female,Black Female,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,179.3960295,196.3315111
All Cancer Deaths,"Chicago, IL",IL,2020,2020,196.1839658,Black,Both,,Black Both,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,191.0402642,201.4539572
All Cancer Deaths,"Columbus, OH",OH,2016,2016,155.9298684,Black,Female,Black Female,Black Female,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,142.1812818,170.7656795
All Cancer Deaths,"Los Angeles, CA",CA,2022,2022,111.8069242,All,Female,,All Female,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,108.7461573,114.9485539
All Cancer Deaths,"Dallas, TX",TX,2020,2020,161.8687162,Black,Female,Black Female,Black Female,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,151.1993327,173.1876406
All Cancer Deaths,"Oakland, CA",CA,2010,2010,133.5615347,All,Female,,All Female,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,122.7964836,145.1112472
All Cancer Deaths,"Tucson, AZ",AZ,2012,2012,143.1837001,Hispanic,Female,Hispanic Female,Hispanic Female,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,128.6903948,158.9558421
All Cancer Deaths,"Milwaukee, WI",WI,2010,2010,219.2513503,White,Both,,White Both,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,206.8895579,232.2976213
All Cancer Deaths,"San Diego, CA",CA,2016,2016,109.7879019,Hispanic,Female,Hispanic Female,Hispanic Female,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,99.91968861,120.4463582
All Cancer Deaths,"Tucson, AZ",AZ,2012,2012,173.0763453,All,Female,,All Female,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,164.5491001,181.9972702
All Cancer Deaths,"Phoenix, AZ",AZ,2020,2020,98.98312845,Hispanic,Female,Hispanic Female,Hispanic Female,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,90.15982896,108.5807774
All Cancer Deaths,"Columbus, OH",OH,2013,2013,59.72749837,Hispanic,Both,,Hispanic Both,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,35.12530477,103.5927779
All Cancer Deaths,"Boston, MA",MA,2011,2011,93.62664585,Asian/PI,Female,Asian/PI Female,Asian/PI Female,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,73.47339642,117.9060583
All Cancer Deaths,"Philadelphia, PA",PA,2013,2013,198.8133618,White,Both,,White Both,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,192.8706501,204.9669253
All Cancer Deaths,"San Jose, CA",CA,2016,2016,88.44073069,Asian/PI,Female,Asian/PI Female,Asian/PI Female,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,81.02661881,96.47944559
All Cancer Deaths,"New York City, NY",NY,2017,2017,106.7311682,Hispanic,Both,,Hispanic Both,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,104.2056163,109.3054605
All Cancer Deaths,"Austin, TX",TX,2020,2020,61.52722192,Asian/PI,Female,Asian/PI Female,Asian/PI Female,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,45.5140993,82.03228722
All Cancer Deaths,"Chicago, IL",IL,2012,2012,199.818117,White,Male,White Male,White Male,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,191.8486542,208.1775793
All Cancer Deaths,"Washington, DC",DC,2021,2021,74.12119986,Hispanic,Both,,Hispanic Both,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,58.26928694,94.11476227
All Cancer Deaths,"New York City, NY",NY,2016,2016,166.4048299,White,Male,White Male,White Male,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,162.7908118,170.1026305
All Cancer Deaths,"Indianapolis, IN",IN,2017,2017,188.8550196,White,Both,,White Both,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,182.3859248,195.547457
All Cancer Deaths,"Cleveland, OH",OH,2020,2020,240.1797758,White,Male,White Male,White Male,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,218.5485471,263.6174765
All Cancer Deaths,"Oklahoma City, OK",OK,2012,2012,89.37499271,Asian/PI,Both,,Asian/PI Both,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,65.08365152,121.0695097
All Cancer Deaths,"Oklahoma City, OK",OK,2011,2011,268.1030939,Black,Male,Black Male,Black Male,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,231.049429,310.0636282
All Cancer Deaths,"Memphis, TN",TN,2015,2015,164.4727086,All,Female,,All Female,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,156.8969311,172.3605646
All Cancer Deaths,"Detroit, MI",MI,2015,2015,225.3393301,Black,Male,Black Male,Black Male,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,214.1196726,237.0449433
All Cancer Deaths,"San Jose, CA",CA,2017,2017,101.9561236,Asian/PI,Both,,Asian/PI Both,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,96.03989285,108.1804899
All Cancer Deaths,"San Diego, CA",CA,2019,2019,218.9281968,Black,Male,Black Male,Black Male,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,190.2211864,251.6815776
All Cancer Deaths,"Las Vegas, NV",NV,2020,2020,169.6841556,White,Both,,White Both,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",proxy,County level data were used,place,real,yes,165.8001818,173.6778404
All Cancer Deaths,"Houston, TX",TX,2022,2022,237.8252897,Black,Male,Black Male,Black Male,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,222.6828522,253.8315361
All Cancer Deaths,"Kansas City, MO",MO,2021,2021,137.7802779,Asian/PI,Both,,Asian/PI Both,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,99.37692957,191.3999974
All Cancer Deaths,"Long Beach, CA",CA,2014,2014,125.0585878,Hispanic,Male,Hispanic Male,Hispanic Male,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,104.9802174,148.3107176
All Cancer Deaths,"Boston, MA",MA,2021,2021,152.881116,All,Male,,All Male,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,144.3118078,161.8957589
All Cancer Deaths,"San Francisco, CA",CA,2018,2018,135.6740451,Hispanic,Male,Hispanic Male,Hispanic Male,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,116.0142876,158.1099933
All Cancer Deaths,"Louisville, KY",KY,2012,2012,162.7610787,White,Female,White Female,White Female,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",proxy,County level data were used,place,real,yes,155.4469368,170.4310364
All Cancer Deaths,"Washington, DC",DC,2022,2022,106.9136621,Hispanic,Male,Hispanic Male,Hispanic Male,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,64.62034974,174.7905068
All Cancer Deaths,"Portland, OR",OR,2011,2011,268.0969354,Black,Both,,Black Both,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,233.3596747,307.2536188
All Cancer Deaths,"San Jose, CA",CA,2014,2014,131.4288372,Asian/PI,Male,Asian/PI Male,Asian/PI Male,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,120.9233589,142.6628845
All Cancer Deaths,"Phoenix, AZ",AZ,2017,2017,111.9098726,White,Female,White Female,White Female,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,106.5210568,117.6102564
All Cancer Deaths,"Baltimore, MD",MD,2019,2019,154.3788772,All,Female,,All Female,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,147.1386748,161.9665781
All Cancer Deaths,"Los Angeles, CA",CA,2020,2020,115.6459587,White,Female,White Female,White Female,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,111.461847,120.0383964
All Cancer Deaths,"San Francisco, CA",CA,2022,2022,115.1929866,White,Female,White Female,White Female,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,104.8061914,126.4781221
All Cancer Deaths,"San Antonio, TX",TX,2014,2014,203.6935427,All,Male,,All Male,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,196.8143021,210.7644256
All Cancer Deaths,"Boston, MA",MA,2011,2011,167.5672111,Black,Female,Black Female,Black Female,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,151.6422013,184.8411736
All Cancer Deaths,"Austin, TX",TX,2020,2020,104.867772,All,Female,,All Female,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,99.1240618,110.8860565
All Cancer Deaths,"Kansas City, MO",MO,2013,2013,191.5092054,Black,Female,Black Female,Black Female,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,173.463429,211.0942035
All Cancer Deaths,"Memphis, TN",TN,2022,2022,149.8101544,All,Female,,All Female,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,141.1443218,158.9540345
All Cancer Deaths,"Oklahoma City, OK",OK,2015,2015,170.1325117,Black,Female,Black Female,Black Female,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,147.7679816,195.3403121
All Cancer Deaths,"Portland, OR",OR,2021,2021,146.0882998,All,Female,,All Female,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,138.9177473,153.6031022
All Cancer Deaths,"Columbus, OH",OH,2017,2017,142.0013132,Black,Female,Black Female,Black Female,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,129.1361379,155.9294867
All Cancer Deaths,"Las Vegas, NV",NV,2018,2018,178.4015328,Black,Both,,Black Both,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",proxy,County level data were used,place,real,yes,168.3233798,189.0128936
All Cancer Deaths,"Philadelphia, PA",PA,2019,2019,171.8447016,Black,Female,Black Female,Black Female,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,164.6807846,179.2921365
All Cancer Deaths,"Cleveland, OH",OH,2022,2022,150.1553049,All,Female,,All Female,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,139.1855768,161.9699141
All Cancer Deaths,"San Antonio, TX",TX,2020,2020,212.6402736,Black,Both,,Black Both,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,195.4023823,231.1011638
All Cancer Deaths,"Las Vegas, NV",NV,2010,2010,71.93049043,Hispanic,Female,Hispanic Female,Hispanic Female,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",proxy,County level data were used,place,real,yes,60.76847225,85.05211004
All Cancer Deaths,"Kansas City, MO",MO,2010,2010,195.1669785,White,Both,,White Both,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,183.5633045,207.3855578
All Cancer Deaths,"Los Angeles, CA",CA,2013,2013,106.6485693,Hispanic,Female,Hispanic Female,Hispanic Female,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,101.8583126,111.6221586
All Cancer Deaths,"New York City, NY",NY,2017,2017,154.0068156,All,Male,,All Male,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,151.739937,156.3008313
All Cancer Deaths,"San Diego, CA",CA,2015,2015,111.0009353,Hispanic,Female,Hispanic Female,Hispanic Female,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,101.1081235,121.6710351
All Cancer Deaths,"Boston, MA",MA,2011,2011,188.0072163,White,Both,,White Both,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,178.920403,197.4817397
All Cancer Deaths,"Oakland, CA",CA,2017,2017,90.54291132,Hispanic,Female,Hispanic Female,Hispanic Female,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,71.27103047,114.1743435
All Cancer Deaths,"Portland, OR",OR,2018,2018,193.6743687,All,Male,,All Male,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,183.9623374,203.8209039
All Cancer Deaths,"Long Beach, CA",CA,2019,2019,116.0790619,Hispanic,Female,Hispanic Female,Hispanic Female,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,98.6787865,136.0963468
All Cancer Deaths,"Columbus, OH",OH,2012,2012,75.32634862,Hispanic,Both,,Hispanic Both,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,38.08059994,158.041787
All Cancer Deaths,"Tucson, AZ",AZ,2021,2021,137.6379714,Hispanic,Female,Hispanic Female,Hispanic Female,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,124.5483594,151.7937248
All Cancer Deaths,"Dallas, TX",TX,2012,2012,158.9705198,White,Both,,White Both,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,152.4841662,165.7957751
All Cancer Deaths,"Long Beach, CA",CA,2010,2010,122.6899661,Asian/PI,Female,Asian/PI Female,Asian/PI Female,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,96.6877744,154.5193286
All Cancer Deaths,"Columbus, OH",OH,2014,2014,69.14844804,Hispanic,Both,,Hispanic Both,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,42.49242424,109.0339694
All Cancer Deaths,"Portland, OR",OR,2012,2012,120.1688816,Asian/PI,Female,Asian/PI Female,Asian/PI Female,Chronic Health Conditions,Cancer,"Deaths from all types of cancer (per 100,000 population, age-adjusted)","Per 100,000",real,,place,real,yes,95.48892998,149.6317668
